Date,Name,Distance,Bike,Comments
12/31/2011,Chris,567.8,Torelli,2011 Total Mileage
12/31/2011,Frances,100,"Jamis Laser 16""",Estimated Frances mileage before 2012
12/31/2010,Chris,3000,Torelli,Estimated mileage before 2011
